text 1	text 2	text 3	text 4
corpulent	뚱뚱한(fat이라는 단어를 피하기 위해 씀)	몸집이 비대하다.	have a fat body.
enkindle	 타오르게 하다(kindle)		
hostile	적대적인	The speaker got a hostile reception from the audience.	그 연사는 청중들에게서 적대적인 반응을 받았다.
subliminal	알지 못하는 사이에[부지불식간에] 영향을 미치는	subliminal advertising.	서브리미널 광고(부지불식간에 영향을 미치는 광고).
mandatory	법에 정해진, 의무적인	It is mandatory for blood banks to test all donated blood for the virus.	혈액은행들은 법에 정해진 대로 모든 헌혈된 혈액에 대해 그 바이러스를 검사해야 한다.
far	멀리	a concert of music from near and far.	도처에서 청중들이 몰려든 음악회.
tribunal	(특별한 문제를 다루는) 재판소, 법원, 조사[심사] 위원회	She took her case to a tribunal.	그녀는 자신의 문제를 조사 위원회에 위촉했다.
coincide	동시에 일어나다	It's a pity our trips to New York don't coincide.	우리의 뉴욕 여행이 같은 때가 아니라서 유감이에요.
predicate		술어로 쓰이다.	be used predicatively.
intertwine	뒤얽히다, 뒤얽다, 엮다, 엮이다	a necklace of rubies intertwined with pearls.	루비에 진주를 엮어 만든 목걸이.
lethal	치명적인(죽음을 초래할 정도의)	a lethal dose of poison.	치사량의 독극물.
archipelago	다도해; 군도	인도네시아는 군도 국가다.	.
gratification	만족감[희열](을 주는 것)	sexual gratification.	성적 희열.
revulsion	혐오감, 역겨움, (혐오감을 동반한) 공포감[충격]	She felt a deep sense of revulsion at the violence.	그녀는 그 폭력 행위에 깊은 혐오감을 느꼈다.
prowess	(절묘한) 기량[솜씨]	academic / sporting prowess.	학자/운동선수로서의 기량.
diversity	다양성	the biological diversity of the rainforests.	열대우림 지역 생물의 다양성.
brittle	잘 부러지는	brittle bones/nails.	잘 부러지는 뼈/손톱.
infer	추론하다	Much of the meaning must be inferred from the context.	의미의 많은 부분을 문맥에서 추론해 내어야 한다.
forfeit	몰수[박탈]당하다	If you cancel your flight, you will forfeit your deposit.	비행을 취소하면 예약금을 못 돌려받을 것이다.
cumbersome	크고 무거운, 다루기 힘든	cumbersome machinery.	크고 무거운 기계류.
insidious	서서히[은밀히] 퍼지는	the insidious effects of polluted water supplies.	오염된 상수도의 서서히 미치는 영향.
tamper	쓸데없는 참견을 하다, 간섭하다 ((with))	Someone had obviously tampered with the brakes of my car.	누군가가 분명히 내 차 브레이크에 손을 댔던 모양이었다.
fallout	(방사능) 낙진	His hair is falling out.	그는 머리가 벗겨지고 있다.
oblivious	의식하지 못하는	He drove off, oblivious of the damage he had caused.	그는 자기가 야기한 손상을 의식하지 못한 채 차를 몰고 가 버렸다.
grotesque	터무니없는, 말도 안 되는(불쾌하거나 모욕적일 정도로 이상함을 나타냄)	a grotesque distortion of the truth.	터무니없는 진실 왜곡.
havoc	대파괴, 큰 혼란[피해]	The floods caused havoc throughout the area.	홍수로 그 지역 전체가 완전 파괴되었다.
outstanding	뛰어난, 걸출한	an outstanding player / achievement / success.	뛰어난 선수/성과/성공.
hyperbole	과장법		
exterminate	몰살[전멸]시키다	그의 가족 모두가 몰살당했다.	.
concentrate	(정신을) 집중하다[집중시키다], 전념하다	I can't concentrate with all that noise going on.	저렇게 마구 소음이 계속되니 집중을 할 수가 없다.
meticulous	꼼꼼한, 세심한	meticulous planning/records/research.	꼼꼼한 계획/기록/조사.
extract	발췌, 초록	The following extract is taken from her new novel.	다음 발췌문은 그녀의 새 소설에서 따온 것이다.
blunt	무딘, 뭉툭한	a blunt knife.	무딘 칼.
curse	욕(설), 악담	He muttered a curse at the other driver.	그가 상대방 운전자를 향해 욕설을 중얼거렸다.
disintegration	[UC] 분해, 붕괴, 분열, 분산; [물리] (방사성 원소의) 붕괴; [지질] 풍화 작용	The plane disintegrated as it fell into the sea.	그 비행기는 바다로 추락하면서 산산조각이 나 버렸다.
insolvent	파산한	The company has been declared insolvent.	그 회사는 파산 선고를 받았다.
compromise	타협[절충](내용)	After lengthy talks the two sides finally reached a compromise.	오랜 회담 끝에 양측이 마침내 타협에 이르렀다.
demolish	(건물을) 철거하다	The factory is due to be demolished next year.	그 공장은 내년에 철거될 예정이다.
boost	신장시키다, 북돋우다	to boost exports / profits.	수출/수익을 신장시키다.
erudite	학식 있는, 박식한	그는 정치에 관해서 박식하다.	.
caviler	트집쟁이		
loathe	혐오하다	I loathe modern art.	난 현대 미술을 혐오한다.
retain	(계속) 유지[보유]하다	to retain your independence.	자신의 독립을 유지하다.
timid	소심한, 용기[자신감]가 없는	He stopped in the doorway, too timid to go in.	그는 문간에서 멈춰 섰다. 너무 용기가 없어서 들어가지는 못하고.
equitable	공정한, 공평한	공평한 사회.	a just society.
docile	유순한, 고분고분한	a docile child / horse.	말을 잘 듣는 아이/말.
precedent	(판결・공식적인 결정 등의) 선례, 판례	The ruling set a precedent for future libel cases.	그 판결은 미래의 명예 훼손 사건들에 대한 선례를 만들었다.
discrimination	차별	age/racial/sex/sexual discrimination.	연령/인종/성 차별.
infraction	(법규의) 위반	minor infractions of EU regulations.	사소한 유럽연합 규정 위반.
transcript	(구술된 내용을) 글로 옮긴 기록[인쇄/전사한 것]	a transcript of the interview.	그 인터뷰를 글로 옮긴 것.
modify	(더 알맞도록) 수정[변경]하다, 바꾸다	The software we use has been modified for us.	우리가 사용하는 소프트웨어는 우리에게 맞도록 변경한 것이다.
gradual	점진적인, 서서히 일어나는	a gradual change in the climate.	점진적인 기후 변화.
petrify	겁에 질리게 만들다	꽁꽁 얼어붙다.	.
firsthand	직접(으로), 바로(at first hand); 직접 체험으로	The President visited the area to see the devastation at first hand.	대통령이 그 참화 현장을 직접 보기 위해 그 지역을 방문했다.
laudatory	칭찬, 감탄		
innate	타고난, 선천적인	the innate ability to learn.	타고난 학습 능력.
dichotomy	양분(兩分), 이분(二分)	그는 이분법적인 사고방식을 가지고 있다.	.
cadaverous	죽은 사람[유령] 같은		
bristle	짧고 뻣뻣한 털	the bristles on his chin.	그의 턱에 난 까칠까칠한 수염.
invaluable	매우 유용한, 귀중한	invaluable information.	귀중한 정보.
catastrophe	참사, 재앙	Early warnings of rising water levels prevented another major catastrophe.	불어나는 수위에 대한 조기 경보로 또 하나의 대형 참사를 막았다.
discard	(불필요한 것을) 버리다, 폐기하다	The room was littered with discarded newspapers.	그 방에는 헌 신문지들이 흩어져 있었다.
intellectual	지능의, 지적인	intellectual curiosity.	지적 호기심.
indolent	게으른, 나태한	나태한 생활.	a(n) lazy[idle] life.
urbane	세련된, 점잖은		
exuberant	활기[생동감] 넘치는	She gave an exuberant performance.	그녀는 활기 넘치는 공연을 했다.
cramped	(방 등이) 비좁은	working in cramped conditions.	비좁은 환경에서 작업을 하는.
encompass	(많은 것을) 포함[망라]하다, 아우르다	The job encompasses a wide range of responsibilities.	그 일자리에서는 다양한 책무를 맡게 된다.
abide	머무르다, 깃들이다	May joy and peace abide in us all.	저희 모두에게 기쁨과 평화가 깃들기를.
entice	(보통 무엇을 제공하며) 유도[유인]하다]	The bargain prices are expected to entice customers away from other stores.	그 저렴한 가격으로 고객들을 다른 매장에서 유도해 낼 수 있을 것으로 예상된다.
gestation	임신[잉태] (기간)	a baby born at 38 weeks' gestation.	임신 38주 만에 태어난 아기.
reconcile	(두 가지 이상의 생각・요구 등을) 조화시키다	It was hard to reconcile his career ambitions with the needs of his children.	그의 출세의 야망과 자녀들의 요구 사이에서 조화를 이루는 것이 힘들었다.
milestone	중요한[획기적인] 단계[사건]	The case was milestone in my life.	그 사건은 내 인생의 중대시점이었다.
ambush	매복 (공격)	Two soldiers were killed in a terrorist ambush.	테러범들의 매복 공격으로 군인 두 명이 사망했다.
unexpurgated	 (검열에서) 삭제[수정]되지 않은; 완전한		
applause	박수 (갈채)	The audience broke into rapturous applause.	청중들이 열광적인 박수갈채를 터뜨렸다.
commuter	통근자	the commuter belt.	(대도시 주위의) 통근자들 거주 지역.
contrary	~와는 다른[반대되는]	Contrary to popular belief, many cats dislike milk.	일반적인 믿음과는 반대로 많은 고양이들이 우유를 싫어한다.
knowingly	(사정 등을) 다 알고도, 고의로	She was accused of knowingly making a false statement to the police.	그녀는 경찰에 고의로 거짓 진술을 했다는 혐의를 받았다.
conform	집단의 다른 구성원들과 행동[생각]을 같이 하다; (관습 등에) 따르다[순응하다]	There is considerable pressure on teenagers to conform.	십대들에게는 또래 집단과 같이 행동해야 한다는 압박감이 상당하다.
lethargic	기면(嗜眠)성[증]의; 혼수(상태)의; 무기력한, 활발하지 못한; 둔감한	무기력 상태에 빠지다.	become lethargic.
posture	(사람이 앉거나 서 있는) 자세	a comfortable / relaxed posture.	편안한/느긋한 자세.
spectacular	장관을 이루는; 극적인	spectacular scenery.	장관을 이루는 풍경.
redundant	(일거리 부족으로) 정리 해고[감원 조치/실직]당한	to be made redundant from your job.	직장에서 정리 해고당하다.
strenuous	힘이 많이 드는, 몹시 힘든, 격렬한	a strenuous climb.	몹시 힘든 등반.
ferocious	흉포한; 맹렬한, 격렬한	a ferocious beast / attack / storm.	흉포한 짐승/공격/맹렬한 폭풍.
voracious	(음식에 대해) 게걸스러운	a voracious eater.	게걸스럽게 먹는 사람.
inalienable	빼앗을 수 없는	the inalienable right to decide your own future.	스스로의 미래를 결정할, 빼앗을 수 없는 권리.
assiduous	근면 성실한	직무에 정려하다.	.
tractable	다루기 쉬운		
deject	…의 기를 꺾다, 낙담시키다		
continually	계속해서, 계속적으로, 끊임없이, 줄곧	continual complaints/interruptions.	거듭되는 항의/방해.
confine	(활동・주제・지역 등을) 국한시키다	The work will not be confined to the Glasgow area.	그 작업이 글래스고 지역에만 국한되지는 않을 것이다.
bleak	암울한, 절망적인	a bleak outlook/prospect.	암울한 전망.
epitomize	완벽한 보기이다, 전형적으로 보여주다	The fighting qualities of the team are epitomized by the captain.	그 팀의 투지력은 팀의 주장에게서 완벽한 예를 볼 수 있다.
hefty	장대한; 크고 무거운	Her brothers were both hefty men in their forties.	그녀의 오빠[남동생]들은 두 사람 다 기골이 장대한 40대였다.
prescription	처방전	prescription drugs/medication(s).	처방전이 있어야 구입할 수 있는 약제.
reiterate	(이미 한 말을, 특히 강조하기 위해) 반복하다[되풀이하다]	to reiterate an argument / a demand / an offer.	주장/요구/제의를 반복하다.
compensate	보상하다	Nothing can compensate for the loss of a loved one.	사랑하는 사람을 잃은 것은 그 무엇으로도 보상할 수 없다.
impiety	신앙심이 없음, 경건하지 않음		
incessantly	그칠 새[간단] 없이, 계속적으로.	incessant noise / rain / chatter.	끊임없는 소음/쉬지 않고 내리는 비/쉴새없는 수다.
deter	단념시키다, 그만두게 하다	I told him I wasn't interested, but he wasn't deterred.	내가 그에게 관심 없다고 했지만 그는 단념하지 않았다.
amicable	우호적인, 원만한	an amicable relationship.	우호적인 관계.
conflict	(사람이나 국가들 사이의 이해관계로 인한) 갈등[충돌]	a conflict between two cultures.	두 문화간의 충돌.
spontaneous	자발적인, 마음에서 우러난	a spontaneous offer of help.	자발적인 도움 제의.
genuine	진짜의, 진품의	Is the painting a genuine Picasso?.	그 그림이 피카소 진품인가요?.
enervate	기력을 떨어뜨리다	an enervating disease / climate.	기력을 떨어뜨리는 병/날씨.
remuneration	보수	잃어버린 돈을 찾아 준 대가로 거액의 사례금을 받았다.	.
impetus	(일의 추진에 필요한) 자극(제)[추동력]	to give (a) new/fresh impetus to sth.	…에 새로운/신선한 자극이 되다.
conjugal	부부의, 부부 관계의	conjugal love.	부부간의 사랑.
prior	(다른 무엇・특정 시간보다) 사전의	Although not essential, some prior knowledge of statistics is desirable.	필수적인 것은 아니지만 통계학에 대한 약간의 사전 지식이 있으면 좋습니다.
adverse	부정적인, 불리한	adverse change/circumstances/weather conditions.	불리한 변화/상황/기상 조건.
deplorable	개탄스러운	a deplorable incident.	개탄스러운 사건.
abuse	남용, 오용	alcohol/drug/solvent abuse.	지나친 음주/약물 남용/본드 흡입.
astronomer	천문학자		
horizontal	수평(선)의, 가로의	horizontal lines.	수평으로 난 선들.
context	(어떤 일의) 맥락, 전후 사정	This speech needs to be set in the context of Britain in the 1960s.	이 연설은 1960년대의 영국이라는 맥락 속에 두고 볼 필요가 있다.
intimidate	(시키는 대로 하도록) 겁을 주다[위협하다]	They were accused of intimidating people into voting for them.	그들은 자기들에게 투표를 하도록 사람들을 위협했다는 비난을 받았다.
deteriorate	악화되다, 더 나빠지다	Her health deteriorated rapidly, and she died shortly afterwards.	그녀는 건강이 급속도로 악화되어 그 후 곧 죽었다.
procure	(특히 어렵게) 구하다[입수하다]	She managed to procure a ticket for the concert.	그녀는 간신히 그 콘서트 티켓 한 장을 구할 수 있었다.
eternal	영원한	the promise of eternal life in heaven.	천국에서의 영생이라는 약속.
apprehend	체포하다	I was a little apprehensive about the effects of what I had said.	나는 내가 한 말이 가져올 결과가 좀 걱정스러웠다.
increment	(정기적인) 임금 인상	a salary of £25K with annual increments.	연례 임금 인상이 붙는 25,000파운드의 급여.
maritime	바다의, 해양의; 배의	a maritime museum.	해양 박물관.
dilate	확장[팽창]하다[시키다], 키우다[커지다]	Her eyes dilated with fear.	공포에 질려 그녀의 두 눈이 커다랗게 벌어졌다.
endorse	(공개적으로) 지지하다	I wholeheartedly endorse his remarks.	저는 진심으로 그의 발언을 지지합니다.
obliquely	비스듬히 (기울어져); 부정하게; 간접으로	an oblique reference/approach/comment.	에둘러 가리킴/간접적인 방법/완곡한 논평.
demise	(기관・사상・기업 등의) 종말	This policy is doomed to failure.	
thoroughfare	(특히 도시의) 주요[간선] 도로	도로를 건설하다.	construct a road.
inure	[보통 ~ oneself 또는 수동형으로] 익히다, 단련하다	( inure +[목]+[전]+[명] ) be  inure  d to distress.	고난에 단련되어 있다.
ensue	(어떤 일・결과가) 뒤따르다	An argument ensued.	언쟁이 뒤따랐다.
chilling	으스스한	a chilling story.	으스스한 이야기.
disentangle	(혼란스러운 주장・생각 등을) 구분하다	It's not easy to disentangle the truth from the official statistics.	공식적인 통계에서 진실을 구분해내기는 쉽지 않다.
burgeon	급성장[급증]하다		
minute	극미한, 극히 작은	minute amounts of chemicals in the water.	그 물 속에 든 극미량의 화학 물질들.
ban	금(지)하다	Chemical weapons are banned internationally.	화학 무기는 국제적으로 금지되고 있다.
punctual	시간을 지키는[엄수하는]	She has been reliable and punctual.	그녀는 믿을 수 있고 시간도 엄수해 왔다.
acquaint	익히다, 숙지하다	Please acquaint me with the facts of the case.	제가 그 사건과 관련된 사실들을 숙지할 수 있게 해 주십시오.
surveillance	감시	The police are keeping the suspects under constant surveillance.	경찰이 그 용의자들을 계속 감시하고 있다.
thrift	절약, 검약	New businesses thrive in this area.	이 지역에서는 새 사업체들이 번창하고 있다.
drastic	과감한, 극단적인; 급격한	drastic measures/changes.	과감한[극단적인] 조치/급격한 변화.
bondage	구속[속박](된 상태)	women's liberation from the bondage of domestic life.	가정생활이라는 속박으로부터의 여성들의 해방.
congest	혼잡하게 하다, 정체시키다(overcrowd)		
desecrate	(신성한 것을) 훼손하다	desecrated graves.	훼손당한 무덤들.
inspiration	(특히 예술적 창조를 가능하게 하는) 영감	Dreams can be a rich source of inspiration for an artist.	예술가에게는 꿈이 풍부한 영감의 원천이 될 수가 있다.
reluctant	꺼리는, 마지못한, 주저하는	reluctant agreement.	마지못해 하는 동의.
agenda	의제[안건] (목록)	The next item on the agenda is the publicity budget.	다음 안건은 홍보비 문제입니다.
exemplary	모범적인	Her behaviour was exemplary.	그녀의 행동은 모범적이었다.
iridescence	무지갯빛, 보는 각도에 따라 달라지는 빛, 훈색(暈色)	a bird with iridescent blue feathers.	무지갯빛 청색 깃털을 가진 새.
sensitive	(남의 기분을 헤아리는 데) 세심한	a sensitive and caring man.	세심하고 배려 있는[세심하게 마음을 써 주는] 남자.
lapse	(특히 무엇을 잊어버리거나 부주의해서 하는 작은) 실수[과실], 깜박함	a lapse of concentration/memory.	잠깐 동안의 부주의[잠깐 깜박함]/순간적인 착오.
abrogate	(법령・합의 등을) 폐지하다[철폐하다]	사형 제도를 폐지하다.	.
glimpse	(완전히는 못 보고) 잠깐[언뜻] 봄, 일별	He caught a glimpse of her in the crowd.	그는 군중 속에 있는 그녀를 언뜻 보았다.
inquisitive	꼬치꼬치 캐묻는	Don't be so inquisitive. It's none of your business!.	그렇게 꼬치꼬치 캐묻지 마. 네가 상관할 일이 아니잖아!.
trample	짓밟다, 밟아 뭉개다	People were trampled underfoot in the rush for the exit.	사람들이 출구를 찾아 몰리면서 발밑에 깔려 짓밟혔다.
malady	심각한 문제, 병폐	Violent crime is only one of the maladies afflicting modern society.	폭력 범죄는 현대 사회를 괴롭히는 심각한 문제들 중의 하나일 뿐이다.
arrogant	오만한	나는 너처럼 건방진 애들은 딱 질색이야!.	.
redress	(부당하거나 잘못된 것을) 바로잡다[시정하다]	to redress an injustice.	부당한 것을 바로잡다.
besiege	포위하다, 에워싸다	Paris was besieged for four months and forced to surrender.	파리는 넉 달 동안 포위당해 항복을 할 수 밖에 없었다.
inept	솜씨 없는, 서투른	She was left feeling inept and inadequate.	그녀는 솜씨 없고 미숙하다는 느낌을 안게 되었다.
opulent	호화로운	호사스러운 생활을 하다.	live in luxury[extravagance].
succinct	간단명료한, 간결한	Keep your answers as succinct as possible.	대답은 가능한 한[최대한] 간단명료하게 하라.
defuse	(긴장・위험 등을) 진정[완화]시키다	Local police are trying to defuse racial tension in the community.	지역 경찰에서는 그 지역 사회 내의 인종 간 긴장을 완화시키기 위해 애쓰고 있다.
vicinity	(…의) 부근[인근]	Crowds gathered in the vicinity of Trafalgar Square.	군중들이 트라팔가 광장 부근으로 모여들었다.
affluent	부유한	affluent Western countries.	부유한 서구 국가들.
contentious	논쟁을 초래할 (듯한)	a contentious issue/topic/subject.	논쟁이 될 쟁점/화제/주제.
imaginative	창의적인, 상상력이 풍부한	an imaginative approach / idea / child.	창의적인 접근법/발상/상상력이 풍부한 아이.
traitorous	배반하는, 반역적인	He was seen as a traitor to the socialist cause.	그는 사회주의 대의에 대한 배반자로 여겨졌다.
consumption	(에너지・식품・물질의) 소비[소모](량)	the production of fuel for domestic consumption.	가정 소비용 연료 생산.
eligible	(자격・연령 등의 조건이 맞아서) …을 가질[할] 수 있는	Only those over 70 are eligible for the special payment.	70세가 넘는 사람들만이 그 특별 수당을 받을 수 있다.
custody	양육권, 보호[관리]권; 양육, 관리	Who will have custody of the children?.	아이들 양육권은 누가 갖게 되나요?.
defiant	(공개적으로, 때로는 공격적으로) 반항[저항]하는	a defiant teenager.	반항적인 십대 (청소년).
instantaneous	즉각적인	an instantaneous response.	즉각적인 반응.
impel	(생각・기분이) …해야만 하게 하다	He felt impelled to investigate further.	그는 더 깊이 조사해 보아야 한다는 기분이 들었다.
projecting	돌출한, 툭 튀어나온	projecting eyes.	퉁방울눈.
degenerate	(도덕적・육체적・정신적으로) 악화되다	The march degenerated into a riot.	시위대의 행진이 악화되어 폭동이 되었다.
villain	(이야기・연극 등의 중심인물인) 악당[악한]	He often plays the part of the villain.	그는 자주 악당 역할[악역]을 연기한다.
allege	(증거 없이) 혐의를 제기하다[주장하다]	The prosecution alleges (that) she was driving carelessly.	검찰측은 그녀가 난폭 운전을 하고 있었다고 주장한다.
capricious	변덕스러운	그녀는 너무 변덕스러워서 예측이 불가능하다.	.
cultivate	(땅을) 경작하다, 일구다	The land around here has never been cultivated.	이 인근 지역의 땅은 경작된 적이 한 번도 없다.
impatient	(특히 오래 기다려야 하는 것 때문에) 짜증난[안달하는]	I'd been waiting for twenty minutes and I was getting impatient.	나는 20분 동안 기다리던 상태여서 짜증이 나기 시작하는 참이었다.
coherent	일관성 있는, 논리[조리] 정연한	a coherent narrative/account/explanation.	조리 있는 서술/이야기/설명.
beverage	(물 외의) 음료	laws governing the sale of alcoholic beverages.	주류 판매 관련법.
laconic	말을 많이 하지 않는, 할 말만 하는		
culminate	(~으로) 끝이 나다[막을 내리다]	Their summer tour will culminate at a spectacular concert in London.	그들의 하계 순회공연은 런던에서의 장대한 콘서트로 막을 내린다.
innuendo	빗대어 하는 말, 빈정거림	innuendoes about her private life.	그녀의 사생활을 빗대어 하는 말들.
extricate	(곤란한 상황에서) 해방되다[해방시키다]	He had managed to extricate himself from most of his official duties.	그는 대부분의 공적 직무들에서 간신히 해방된 상태였다.
indignation	분개, 분함	The rise in train fares has aroused public indignation.	기차 요금 인상은 대중의 분개를 불러일으켰다.
solemn	침통한; 근엄한	Her face grew solemn.	그녀의 얼굴이 침통[근엄]해졌다.
destitute	극빈한, 궁핍한	When he died, his family was left completely destitute.	그가 죽었을 때 그의 가족은 철저한 궁핍 속에 내버려지게 되었다.
gloomy	어둑어둑한; 음울한	a gloomy room / atmosphere.	어둑어둑한 방/음울한 분위기.
impede	(진행을) 지연시키다[방해하다]	Work on the building was impeded by severe weather.	혹독한 날씨 때문에 그 건물 공사가 지연되었다.
hunch	(등을) 구부리다	She leaned forward, hunching over the desk.	그녀는 몸을 앞으로 기대며 책상 위로 등을 구부렸다.
solicit	간청[요청]하다, 얻으려고[구하려고] 하다	They were planning to solicit funds from a number of organizations.	그들은 여러 기관들로부터 기금을 얻으려고 계획하고 있었다.
litigate	소송[고소]하다		
thrive	번창하다; 잘 자라다	New businesses thrive in this area.	이 지역에서는 새 사업체들이 번창하고 있다.
compassion	연민, 동정심	to feel/show compassion.	연민을 느끼다/보이다.
forge	구축하다	a move to forge new links between management and workers.	노사간에 새로운 관계를 구축하려는 움직임.
identify	(신원 등을) 확인하다[알아보다]	The bodies were identified as those of two suspected drug dealers.	그 사체는 두 명의 마약 거래 용의자들 것임이 확인되었다.
encroach	(남의 시간・권리・생활 등을) 침해하다	I won't encroach on your time any longer.	당신의 시간을 더 이상 빼앗고 싶지 않아요.
buttress	(벽의) 지지대, 부벽	쓰러져 가는 집을 살잡다.	buttress a falling house.
amid	(특히 흥분・공포심이 느껴지는) 가운데[중]에	He finished his speech amid tremendous applause.	그는 엄청난 박수가 쏟아지는 가운데 연설을 마쳤다.
annex	(국가・지역 등을 특히 무력으로) 합병하다	Germany annexed Austria in 1938.	독일은 1938년에 오스트리아를 합병시켰다.
detrimental	해로운	the sun's detrimental effect on skin.	피부에 해로운 햇빛의 영향.
intermittent	간헐적인, 간간이 일어나는	intermittent bursts of applause.	간간이 터져 나오는 박수 소리.
counterfeit	위조의, 모조의	counterfeit watches.	모조 시계.
elude	(교묘히) 피하다[빠져나가다]	The two men managed to elude the police for six weeks.	그 두 남자는 경찰을 6주 동안 용케도 피해 다녔다.
intact	(하나도 손상되지 않고) 온전한, 전혀 다치지 않은	Most of the house remains intact even after two hundred years.	그 집은 200년이 지났는데도 대부분이 온전하다.
equanimity	(특히 힘든 상황에서의) 침착, 평정	She accepted the prospect of her operation with equanimity.	그녀는 수술을 해야 할 가능성을 침착하게 받아들였다.
appease	달래다	The move was widely seen as an attempt to appease critics of the regime.	그 조치는 정권의 비판자들을 달래기 위한 시도로 널리 비춰졌다.
automation	자동화	Automation meant the loss of many factory jobs.	자동화는 공장에서 일자리가 많이 없어짐을 의미했다.
convince	납득시키다, 확신시키다	You'll need to convince them of your enthusiasm for the job.	그 일[직장]에 대한 당신의 열의를 그들에게 납득시킬 필요가 있을 것이다.
redeem	(결함 등을) 보완[벌충/상쇄]하다	The excellent acting wasn't enough to redeem a weak plot.	뛰어난 연기도 허약한 줄거리를 보완하기에는 충분하지 못했다.
utter	(강조의 의미로) 완전한[순전한]	That's complete and utter nonsense!.	그건 그야말로 완전 순 헛소리야!.
abstruse	난해한	an abstruse argument.	난해한 주장.
chagrin	원통함, 분함		
trivial	사소한, 하찮은	a trivial detail.	사소한 세부 사항.
refrain	(특히 하고 싶은 것을) 삼가다	Please refrain from smoking.	흡연을 삼가 주십시오.
inertia	무력; 타성	I can't seem to throw off this feeling of inertia.	나는 이 무력감을 떨쳐 버릴 수가 없는 것 같다.
trifle	약간	She seemed a trifle anxious.	그녀는 약간 불안해하는 것 같았다.
acquire	(노력・능력으로) 습득하다[얻다]	She has acquired a good knowledge of English.	그녀는 훌륭한 영어 지식을 습득했다.
disappear	(눈앞에서) 사라지다, 보이지 않게 되다	The plane disappeared behind a cloud.	비행기는 구름 뒤로 사라졌다.
nadir	(어떤 상황에서) 최악의 순간[바닥]	the nadir of his career.	그의 경력에 있어서 최악의 순간.
recess	(의회・위원회 등의) 휴회 기간	The sound of the truck receded into the distance.	트럭 소리는 차츰 멀어져 갔다.
discreet	신중한, 조심스러운	He was always very discreet about his love affairs.	그는 애정 문제에 대해서는 언제나 아주 신중했다.
disavow	(무엇에 대한 지식・책임을 공개적으로) 부인하다	They disavowed claims of a split in the party.	그들은 당 내부에 분열이 있다는 주장들을 부인했다.
interminable	(지겹고 짜증날 정도로) 끝없이 계속되는	an interminable speech / wait / discussion.	끝없이 계속되는 연설/기다림/논의.
tenet	주의(主義), 교리(敎理)	one of the basic/central tenets of Christianity.	기독교 기본/중심 교리의 하나.
compliance	(법・명령 등의) 준수; (명령 등에) 따름	procedures that must be followed to ensure full compliance with the law.	완전한 법률 준수를 보장하기 위해 반드시 지켜야 할 절차들.
novice	초보자	I'm a complete novice at skiing.	나는 스키에는 완전 초보자이다.
stigma	오명	There is no longer any stigma attached to being divorced.	이젠 더 이상 이혼한 것에 대해 어떤 오명이 붙지 않는다.
confer	상의하다	He wanted to confer with his colleagues before reaching a decision.	그는 결정을 내리기 전에 동료들과 상의를 하고 싶었다.
setback	차질	The team suffered a major setback when their best player was injured.	그 팀은 팀 내 최우수 선수가 부상을 입어서 중대한 차질을 겪었다.
imbibe	(특히 술을) 마시다	젖을 들이빨다.	suck the breast hard.
imperative	반드시 해야 하는, 긴요한	It is absolutely imperative that we finish by next week.	우리가 반드시 다음 주까지 일을 마쳐야 한다.
turbid	탁한, 흐린	탁한 공기.	hazy air.
knockabout	(코미디 등이) 과장된 행동으로 사람들을 웃기는	He spent a few years knocking around Europe.	그는 유럽을 돌아다니며 몇 년을 보냈다.
pertinent	(특정한 상황에) 적절한[관련 있는]	a pertinent question/fact.	적절한 질문/관련 있는 사실.
nascent	발생기의, 초기의		
helm	(배의) 키	Down[Up] (with the) helm!.	키 내려[올려]!.
brilliant	훌륭한, 멋진	What a brilliant idea!.	정말 멋진 생각이야!.
dearth	(…의) 부족[결핍]	There was a dearth of reliable information on the subject.	그 주제에 대해서는 믿을 만한 정보가 부족했다.
promote	촉진[고취]하다	policies to promote economic growth.	경제 성장을 촉진하기 위한 정책들.
hubris	자만심		
vain	헛된, 소용없는	She closed her eyes tightly in a vain attempt to hold back the tears.	그녀는 눈물을 참으려고 두 눈을 질끈 감았으나 허사였다.
annual	매년의, 연례의	an annual meeting/event/report.	연례회의/행사/보고.
insuperable	대처[극복]할 수 없는		
erode	(비바람이[에]) 침식[풍화]시키다[되다]	The cliff face has been steadily eroded by the sea.	그 절벽의 전면은 바닷물에 끊임없이 침식되어 왔다.
contrite	깊이 뉘우치는, 회한에 찬	회개의 눈물을 흘리다.	shed tears of repentance.
euthanasia	안락사	They argued in favour of legalizing voluntary euthanasia.	그들은 자발적 안락사의 합법화를 지지하는 주장을 했다.
inundate	감당 못할 정도로 주다[보내다]	We have been inundated with offers of help.	우리에게 도와주겠다는 제의가 물밀듯이 몰려들었다.
facet	측면, 양상	Now let's look at another facet of the problem.	이제 그 문제의 또 다른 측면을 살펴보죠.
elucidate	(더 자세히) 설명하다	He elucidated a point of grammar.	그가 문법 요소 한 가지를 설명했다.
crackdown	엄중 단속, 강력 탄압	a military crackdown on student protesters.	학생 저항 운동권에 대한 군부의 강력한 탄압.
strain	부담, 중압[압박](감)	Their marriage is under great strain at the moment.	그들의 결혼 생활이 현재 큰 압박을 받고 있다.
humiliate	굴욕감을 주다	I didn't want to humiliate her in front of her colleagues.	나는 그녀에게 동료들 앞에서 굴욕감을 주고 싶지는 않았다.
